Game Name,Genres,Release Date,Description
Maji Kyun! Renaissance,34,[object Object],A cross media collaboration project between Sunrise & Broccolli.
Zhed,"9,15,32","[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]","ZHED is an instant classic puzzle game. Based on a simple mechanic, it builds onto increasingly complex puzzles that challenge you to a level you would not imagine. No timers, no clocks, no stars and no tricks, just pure puzzles for you to enjoy."
Hey Duggee: The Big Outdoor App,,[object Object],"Welcome to the Big Outdoors, Squirrels! Introducing the latest app featuring Hey Duggee! Safe, ad-free fun for your little ones. 
 
Completing each activity earns the Squirrel a badge. With 5 Squirrels playing for 7 badges each, that’s a whole lot of Duggee Hugs!"
Dotra,,,
Space station - build your own ISS,,,
Bubble Whirl Shooter,"9,33",,"Shoot bubbles and match colors to pop your way up to victory in this bubble shooting adventure, win magic keys to unlock more secret colorful bubble world, it’s time to enjoy the endless bubble shooting fun!"
Racing Live,,,
Wuthering Waves: In the Turquoise Moonglow,"12,31","[object Object],[object Object],[object Object]","Version 1.2 of Wuthering Waves, which included:
• New characters: Zhezhi and Xiangli Yao
• New main event: By Moon's Grace
• New companion story for Zhezhi: True Colors
• New echoes, events and more!"
Railroad Tycoon 2: Platinum Edition,,,
Jonah Lomu Rugby,"13,14","[object Object],[object Object],[object Object]","Jonah Lomu Rugby is a sports video game developed by Rage Software and published by Codemasters in 1997. It was released for MS-DOS, PlayStation and Sega Saturn. It was the first rugby union game released on the Saturn or PlayStation platforms.

It has five game modes: Friendly, World Cup, Tournament, Territories Cup and Classic Matches.

The title of the video game refers to former New Zealand winger Jonah Lomu."
Pet Puzzle,13,[object Object],Pet Puzzle is a relaxing and leisurely three-in-a-row game.
The Ultimate FMV Bundle 2,,[object Object],"Wales Interactive is proud to offer the ultimate bundle for their very best FMV games! Featuring Night Book, Who Pressed Mute on Uncle Marcus? Bloodshore, Five Dates and I Saw Black Clouds in one bundle!"
Crusades,5,[object Object],Crusades: An Unholy War is a nine-level Ultimate Doom PWAD in episode four style made by Richard Wiles. It replaces maps E4M1-E4M9.
Deathmatch Club,,,
Untitled Tokyo Revengers Action RPG,12,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]","A new 3D action RPG based on the popular manga and anime series Tokyo Revengers for PlayStation 5, PlayStation 4, Switch, PC (DMM Games), iOS, and Android. A specific title was not announced. It will launch as a free-to-play title with item-based microtransactions this winter in Japan."
Hi-5 DVD Game,,[object Object],"Hi-5 DVD Game is a DVD game released by Universal Studios Home Entertainment. This interactive DVD game comes with a set of coloured picture mats that are used to play ten games all presented by and featuring the original Hi-5 members. The winners of each game will be crowned a Hi-5 Action Hero by each of the Hi-5 members, from their respective games."
Meat & Greed,"31,32",[object Object],"In the atmospheric puzzle-platformer Meat & Greed, you will experience the horrors of a slaughterhouse from the perspective of different animals. Solve riddles and collaborate with other animals to try and escape this ill-fated factory."
MadBreak,,[object Object],"Dive into MadBreak, a captivating reimagining of the beloved ""Brick Breaker"" game. With each level, you'll face exhilarating challenges that push your skills to the limit. Can you master the unique twists and turns that MadBreak throws your way? Break through the ordinary and embrace the extraordinary. Test your reflexes, strategize your moves, and discover if you have what it takes to conquer MadBreak! Get ready for an adrenaline-fueled journey where every block shattered brings you closer to victory. Are you up for the challenge? Game SUPPORTs controller use!"
Hockey de Mesa,,[object Object],
This hole in my chest,,,A game about feeling empty
Shadow Wolf Mysteries: Cursed Wedding - Collector's Edition,31,[object Object],"After being called to Paris, you find yourself in the middle of a shocking mystery involving an ancient werewolf hungry for revenge."
Prism Pets,"9,15",[object Object],"Prism Pets, a colorfully cute puzzle that shines. Slide, smash and crash your way into color!"
Wubble Bubbles,,,
Out of Orbit,"12,13,31,32",,"Design, build and manage your very own spacecraft. Explore unlimited amounts of randomly generated universes, travel through wormholes, do missions, survive cosmic events, collect and trade materials, win epic bossfights and many, many more things to do. The sky is the limit. Literally."
Word Champion!,,,
Flashy Maze,,,
Fire Emblem: Awakening,"12,15","[object Object],[object Object],[object Object],[object Object]","Armies clash as the world burns. As an inevitable war draws ever closer, you must stand with Chrom and his forces--knights, mages, archers, and more--commanding them against the armies of kingdoms, empires, and the dead themselves.

Plan your strategery. Move your troops on the battlefield, then choose their weapon and attack. Using the new Pair Up and Dual systems, support your attacks with the help of nearby allies and watch their skills and relationships grow."
Lines,,,
Aisleen,,,
The Way Of Kings,"5,31,32","[object Object],[object Object]","《The Way Of Kings》is a love and war based real-time action role-playing game.It tells the story of an ordinary man named Qin Shihuang, who experiences countless fantasy adventures in the end times to conquer the world, unify Kyushu and become emperor."
BackDoor- Door 1,,,
Train Simulator: Zhengxi Highspeed: Zhengzhou - Sanmenxia Route,13,,Experience exhilarating Chinese high-speed rail operations with the Zhengxi passenger line from SimTech Vision for Train simulator.
Family Trainer: Extreme Challenge,,[object Object],Family Trainer: Extreme Challenge is the follow up to the successful Family Trainer game/mat bundle.
King's Hand: Seasonal Winter Pack,"14,15",,A snowy reskin of the whole game.
Soccer Rally Arena,,,
TS Online Mobile,,,
Tie Break Tennis,,,
Space Fox Kimi: The Battle of Mochi Prime,"31,32",,"A stroke of luck, a once in a lifetime chance to end the war. The fleet gathers in preparation for an invasion. The Battle of Mochi Prime... is about to begin."
Porky's,,[object Object],"Porky's was a prototype game designed for the ColecoVision in 1983. Revenge is sweet... and you're out to get it. You've been ""had"" at Porky's, and you're out to blow it away. The action's hot and heavy and it's up to you to keep Pee Wee on his toes. If he succumbs to distraction, it's the pits! It's more fun than a greased pig... it's a blast!"
King's Hand: Exotic Purgatory Pack,"14,15",,An exclusive hellish reskin of the whole game.
Maximum Force,"5,33","[object Object],[object Object],[object Object],[object Object],[object Object]","Maximum Force is a light gun shooter arcade game developed by Mesa Logic for Atari Games in 1997. In 1998, Atari Games re-released the game as part of one machine called Area 51/Maximum Force Duo that also included Area 51, and later ported the game to both the Sony PlayStation and Sega Saturn game consoles.

Like its predecessor Area 51, Maximum Force is notable for its use of digitized video stored on an on-board hard disk, and the bizarrely contrasting unrealistic gibs into which every enemy blows apart when shot, in exactly the same way. While enemies, innocents, and explosions are 2D digitized video sprites, the levels and vehicles are pre-rendered in 3D."
LiMiT's Escape Room Games,"9,15,26,31,32",[object Object],Escape Room Game with 2 levels with different difficulty
10tons Adventure Puzzles Bundle,,[object Object],"Sparkle 2: Sparkle 2 is a superbly polished marble shooter action puzzle game with beautiful graphics, mighty powerups and an amazing soundtrack. Match the orbs before they fall into the abyss and find your way through mysterious lands of startling beauty!

Azkend 2: Step aboard a fantastic adventure! Enjoy amazing match-three gameplay and discover one of the most astonishing worlds ever imagined."
Rocky Climb,,,
Fatal Run,"5,10","[object Object],[object Object]",Drive up the road and gun down opposing vehicles in Fatal Run.
Memorick: The Apprentice Knight,,,
Crazy Kong,"8,9,33",[object Object],
Graviteam Tactics: Stalemate on Donets,"13,15",,"Izyum-Barvenkovo offensive operation of the Red Army was carried out from 17 to 27 July, 1943 by forces of South-Western Front in order to encircle and destroy the German group defending Donbass, as well to prevent the transfer of enemy troops to the Kursk region."
Video Hustler,,[object Object],"With an overhead view of the table, you play a billiards variant called ""Pocket Ball"" with just six object balls. Imprecise control over the aim and velocity of your shots. You'll discover the exicetiment of ball colliding. The silence and concentration of the billiard room, as well as the enthusiasm of the players will all be there for you."
The Crew 2: Digital Deluxe Edition,,,
Leo Spanish Spelling Complete,,,
Tower of Fortune,,[object Object],"Tower of Fortune is a retro-style slot machine/RPG. You play as a retired hero and lived with daughter peacefully. Until one day, an unknown power from the mystic tower took her away. This force the hero to draw the sword again and fight for his daughter."
Kuma no Pooh-San: 100 Acre no Mori no Cooking Book,,,
Thronefall,"15,24,32","[object Object],[object Object]","A minimalist game about building and defending a little kingdom. Thronefall is a classic strategy game without unnecessary complexity, just some healthy hack-and-slay. Build up your base during the day, and defend it ‘til your last breath at night."
Pixel Race: Endless Retro Racing,"10,14",,"Pixel Race is an endless racing game which you earn badges, unlock and
upgrade cars while trying to win the Legendary badge.
4 CARS
Each new car is smaller and stronger than previous one!"
